index	pvalue	qvalue
 187 	 0.151064 	 0.00935 
 188 	 0.154597 	 0.0094 
 189 	 0.155035 	 0.00945 
 190 	 0.155547 	 0.0095 
 191 	 0.155848 	 0.00955 
 192 	 0.15706 	 0.0096 
 193 	 0.157703 	 0.00965 
 194 	 0.158295 	 0.0097 
 195 	 0.158568 	 0.00975 
 196 	 0.159982 	 0.0098 
 197 	 0.160519 	 0.00985 
 198 	 0.160526 	 0.0099 
 199 	 0.161076 	 0.00995 
 200 	 0.162568 	 0.01 
 201 	 0.16424 	 0.01005 
 202 	 0.167225 	 0.0101 
 203 	 0.167648 	 0.01015 
 204 	 0.168585 	 0.0102 
 205 	 0.17342 	 0.01025 
 206 	 0.175483 	 0.0103 
 207 	 0.175703 	 0.01035 
 208 	 0.176434 	 0.0104 
 209 	 0.178943 	 0.01045 
 210 	 0.179165 	 0.0105 
 211 	 0.179607 	 0.01055 
 212 	 0.179639 	 0.0106 
 213 	 0.179713 	 0.01065 
 214 	 0.180034 	 0.0107 
 215 	 0.180593 	 0.01075 
 216 	 0.181572 	 0.0108 
 217 	 0.183452 	 0.01085 
 218 	 0.183495 	 0.0109 
 219 	 0.184718 	 0.01095 
 220 	 0.185315 	 0.011 
 221 	 0.185834 	 0.01105 
 222 	 0.188656 	 0.0111 
 223 	 0.190578 	 0.01115 
 224 	 0.191314 	 0.0112 
 225 	 0.192502 	 0.01125 
 226 	 0.193372 	 0.0113 
 227 	 0.193604 	 0.01135 
 228 	 0.194246 	 0.0114 
 229 	 0.197634 	 0.01145 
 230 	 0.198541 	 0.0115 
 231 	 0.198737 	 0.01155 
 232 	 0.200046 	 0.0116 
 233 	 0.200078 	 0.01165 
 234 	 0.201636 	 0.0117 
 235 	 0.202271 	 0.01175 
 236 	 0.203655 	 0.0118 
 237 	 0.20377 	 0.01185 
 238 	 0.205165 	 0.0119 
 239 	 0.206722 	 0.01195 
 240 	 0.207117 	 0.012 
 241 	 0.208638 	 0.01205 
 242 	 0.208879 	 0.0121 
 243 	 0.209042 	 0.01215 
 244 	 0.210705 	 0.0122 
 245 	 0.211084 	 0.01225 
 246 	 0.21221 	 0.0123 
 247 	 0.212791 	 0.01235 
 248 	 0.212954 	 0.0124 
 249 	 0.216175 	 0.01245 
 250 	 0.217485 	 0.0125 
 251 	 0.218017 	 0.01255 
 252 	 0.219441 	 0.0126 
 253 	 0.219895 	 0.01265 
 254 	 0.22037 	 0.0127 
 255 	 0.222396 	 0.01275 
 256 	 0.22823 	 0.0128 
 257 	 0.228639 	 0.01285 
 258 	 0.230795 	 0.0129 
 259 	 0.231125 	 0.01295 
 260 	 0.231129 	 0.013 
 261 	 0.234096 	 0.01305 
 262 	 0.235271 	 0.0131 
 263 	 0.235761 	 0.01315 
 264 	 0.236254 	 0.0132 
 265 	 0.236563 	 0.01325 
 266 	 0.236669 	 0.0133 
 267 	 0.2385 	 0.01335 
 268 	 0.239065 	 0.0134 
 269 	 0.240014 	 0.01345 
 270 	 0.241306 	 0.0135 
 271 	 0.24337 	 0.01355 
 272 	 0.244643 	 0.0136 
 273 	 0.244989 	 0.01365 
 274 	 0.245029 	 0.0137 
 275 	 0.24629 	 0.01375 
 276 	 0.247048 	 0.0138 
 277 	 0.247989 	 0.01385 
 278 	 0.248342 	 0.0139 
 279 	 0.248623 	 0.01395 
 280 	 0.249412 	 0.014 
 281 	 0.25017 	 0.01405 
 282 	 0.250263 	 0.0141 
 283 	 0.25149 	 0.01415 
 284 	 0.255077 	 0.0142 
 285 	 0.255829 	 0.01425 
 286 	 0.256238 	 0.0143 
 287 	 0.257888 	 0.01435 
 288 	 0.258167 	 0.0144 
 289 	 0.258297 	 0.01445 
 290 	 0.25885 	 0.0145 
 291 	 0.261852 	 0.01455 
 292 	 0.262 	 0.0146 
 293 	 0.262593 	 0.01465 
 294 	 0.263237 	 0.0147 
 295 	 0.263411 	 0.01475 
 296 	 0.263643 	 0.0148 
 297 	 0.265607 	 0.01485 
 298 	 0.265891 	 0.0149 
 299 	 0.266403 	 0.01495 
 300 	 0.266739 	 0.015 
 301 	 0.270596 	 0.01505 
 302 	 0.270935 	 0.0151 
 303 	 0.271287 	 0.01515 
 304 	 0.271647 	 0.0152 
 305 	 0.27209 	 0.01525 
 306 	 0.2744 	 0.0153 
 307 	 0.274773 	 0.01535 
 308 	 0.274881 	 0.0154 
 309 	 0.275324 	 0.01545 
 310 	 0.275531 	 0.0155 
 311 	 0.275718 	 0.01555 
 312 	 0.276346 	 0.0156 
 313 	 0.277015 	 0.01565 
 314 	 0.278087 	 0.0157 
 315 	 0.279024 	 0.01575 
 316 	 0.280146 	 0.0158 
 317 	 0.281071 	 0.01585 
 318 	 0.282513 	 0.0159 
 319 	 0.283396 	 0.01595 
 320 	 0.283513 	 0.016 
 321 	 0.283545 	 0.01605 
 322 	 0.283844 	 0.0161 
 323 	 0.286127 	 0.01615 
 324 	 0.287786 	 0.0162 
 325 	 0.289482 	 0.01625 
 326 	 0.289798 	 0.0163 
 327 	 0.290334 	 0.01635 
 328 	 0.292972 	 0.0164 
 329 	 0.293595 	 0.01645 
 330 	 0.294909 	 0.0165 
 331 	 0.296675 	 0.01655 
 332 	 0.297168 	 0.0166 
 333 	 0.298341 	 0.01665 
 334 	 0.29846 	 0.0167 
 335 	 0.299165 	 0.01675 
 336 	 0.299744 	 0.0168 
 337 	 0.300193 	 0.01685 
 338 	 0.300242 	 0.0169 
 339 	 0.300281 	 0.01695 
 340 	 0.301838 	 0.017 
 341 	 0.303242 	 0.01705 
 342 	 0.307302 	 0.0171 
 343 	 0.307361 	 0.01715 
 344 	 0.308357 	 0.0172 
 345 	 0.311895 	 0.01725 
 346 	 0.313587 	 0.0173 
 347 	 0.313893 	 0.01735 
 348 	 0.315276 	 0.0174 
 349 	 0.315835 	 0.01745 
 350 	 0.316759 	 0.0175 
 351 	 0.31754 	 0.01755 
 352 	 0.317747 	 0.0176 
 353 	 0.31964 	 0.01765 
 354 	 0.319815 	 0.0177 
 355 	 0.32092 	 0.01775 
 356 	 0.321071 	 0.0178 
 357 	 0.321332 	 0.01785 
 358 	 0.322315 	 0.0179 
 359 	 0.323831 	 0.01795 
 360 	 0.324452 	 0.018 
 361 	 0.326299 	 0.01805 
 362 	 0.33106 	 0.0181 
 363 	 0.331273 	 0.01815 
 364 	 0.332852 	 0.0182 
 365 	 0.333115 	 0.01825 
 366 	 0.333492 	 0.0183 
 367 	 0.33399 	 0.01835 
 368 	 0.334203 	 0.0184 
 369 	 0.33527 	 0.01845 
 370 	 0.336636 	 0.0185 
 371 	 0.340364 	 0.01855 
 372 	 0.344876 	 0.0186 
 373 	 0.347078 	 0.01865 
 374 	 0.348056 	 0.0187 
 375 	 0.348177 	 0.01875 
 376 	 0.348311 	 0.0188 
 377 	 0.348796 	 0.01885 
 378 	 0.348964 	 0.0189 
 379 	 0.349151 	 0.01895 
 380 	 0.349649 	 0.019 
 381 	 0.352722 	 0.01905 
 382 	 0.35441 	 0.0191 
 383 	 0.354775 	 0.01915 
 384 	 0.355568 	 0.0192 
 385 	 0.356388 	 0.01925 
 386 	 0.357991 	 0.0193 
 387 	 0.358792 	 0.01935 
 388 	 0.360455 	 0.0194 
 389 	 0.360612 	 0.01945 
 390 	 0.360807 	 0.0195 
 391 	 0.361759 	 0.01955 
 392 	 0.36253 	 0.0196 
 393 	 0.362653 	 0.01965 
 394 	 0.363292 	 0.0197 
 395 	 0.363309 	 0.01975 
 396 	 0.363628 	 0.0198 
 397 	 0.363751 	 0.01985 
 398 	 0.365293 	 0.0199 
 399 	 0.366909 	 0.01995 
 400 	 0.368187 	 0.02 
 401 	 0.369423 	 0.02005 
 402 	 0.37224 	 0.0201 
 403 	 0.372541 	 0.02015 
 404 	 0.373768 	 0.0202 
 405 	 0.375025 	 0.02025 
 406 	 0.375318 	 0.0203 
 407 	 0.376234 	 0.02035 
 408 	 0.376459 	 0.0204 
 409 	 0.377756 	 0.02045 
 410 	 0.378171 	 0.0205 
 411 	 0.382347 	 0.02055 
 412 	 0.386529 	 0.0206 
 413 	 0.387191 	 0.02065 
 414 	 0.387347 	 0.0207 
 415 	 0.38745 	 0.02075 
 416 	 0.38778 	 0.0208 
 417 	 0.388566 	 0.02085 
 418 	 0.389481 	 0.0209 
 419 	 0.389748 	 0.02095 
 420 	 0.390943 	 0.021 
 421 	 0.393858 	 0.02105 
 422 	 0.394429 	 0.0211 
 423 	 0.394749 	 0.02115 
 424 	 0.399466 	 0.0212 
 425 	 0.399709 	 0.02125 
 426 	 0.400357 	 0.0213 
 427 	 0.401545 	 0.02135 
 428 	 0.401872 	 0.0214 
 429 	 0.403425 	 0.02145 
 430 	 0.405025 	 0.0215 
 431 	 0.406376 	 0.02155 
 432 	 0.409636 	 0.0216 
 433 	 0.411443 	 0.02165 
 434 	 0.411612 	 0.0217 
 435 	 0.413483 	 0.02175 
 436 	 0.414266 	 0.0218 
 437 	 0.414272 	 0.02185 
 438 	 0.414392 	 0.0219 
 439 	 0.414547 	 0.02195 
 440 	 0.416495 	 0.022 
 441 	 0.419477 	 0.02205 
 442 	 0.419742 	 0.0221 
 443 	 0.41988 	 0.02215 
 444 	 0.422371 	 0.0222 
 445 	 0.422959 	 0.02225 
 446 	 0.425218 	 0.0223 
 447 	 0.426047 	 0.02235 
 448 	 0.430475 	 0.0224 
 449 	 0.43155 	 0.02245 
 450 	 0.431938 	 0.0225 
 451 	 0.432086 	 0.02255 
 452 	 0.434134 	 0.0226 
 453 	 0.437058 	 0.02265 
 454 	 0.437322 	 0.0227 
 455 	 0.438033 	 0.02275 
 456 	 0.438478 	 0.0228 
 457 	 0.438701 	 0.02285 
 458 	 0.439632 	 0.0229 
 459 	 0.441716 	 0.02295 
 460 	 0.442342 	 0.023 
 461 	 0.443114 	 0.02305 
 462 	 0.443469 	 0.0231 
 463 	 0.444535 	 0.02315 
 464 	 0.445474 	 0.0232 
 465 	 0.446049 	 0.02325 
 466 	 0.446272 	 0.0233 
 467 	 0.450925 	 0.02335 
 468 	 0.451206 	 0.0234 
 469 	 0.454189 	 0.02345 
 470 	 0.455117 	 0.0235 
 471 	 0.457079 	 0.02355 
 472 	 0.457688 	 0.0236 
 473 	 0.457909 	 0.02365 
 474 	 0.458415 	 0.0237 
 475 	 0.459031 	 0.02375 
 476 	 0.45929 	 0.0238 
 477 	 0.460212 	 0.02385 
 478 	 0.463599 	 0.0239 
 479 	 0.463882 	 0.02395 
 480 	 0.467728 	 0.024 
 481 	 0.468309 	 0.02405 
 482 	 0.468399 	 0.0241 
 483 	 0.469095 	 0.02415 
 484 	 0.469404 	 0.0242 
 485 	 0.470231 	 0.02425 
 486 	 0.470382 	 0.0243 
 487 	 0.472202 	 0.02435 
 488 	 0.472917 	 0.0244 
 489 	 0.473161 	 0.02445 
 490 	 0.473308 	 0.0245 
 491 	 0.473852 	 0.02455 
 492 	 0.474702 	 0.0246 
 493 	 0.477949 	 0.02465 
 494 	 0.479361 	 0.0247 
 495 	 0.479616 	 0.02475 
 496 	 0.48011 	 0.0248 
 497 	 0.480119 	 0.02485 
 498 	 0.481672 	 0.0249 
 499 	 0.48274 	 0.02495 
 500 	 0.483513 	 0.025 
 501 	 0.485196 	 0.02505 
 502 	 0.486619 	 0.0251 
 503 	 0.48834 	 0.02515 
 504 	 0.48862 	 0.0252 
 505 	 0.488708 	 0.02525 
 506 	 0.489007 	 0.0253 
 507 	 0.489961 	 0.02535 
 508 	 0.490776 	 0.0254 
 509 	 0.492913 	 0.02545 
 510 	 0.494781 	 0.0255 
 511 	 0.496576 	 0.02555 
 512 	 0.501854 	 0.0256 
 513 	 0.502179 	 0.02565 
 514 	 0.505392 	 0.0257 
 515 	 0.505438 	 0.02575 
 516 	 0.50851 	 0.0258 
 517 	 0.508738 	 0.02585 
 518 	 0.50995 	 0.0259 
 519 	 0.512965 	 0.02595 
 520 	 0.513225 	 0.026 
 521 	 0.515693 	 0.02605 
 522 	 0.517148 	 0.0261 
 523 	 0.519471 	 0.02615 
 524 	 0.519484 	 0.0262 
 525 	 0.519564 	 0.02625 
 526 	 0.519634 	 0.0263 
 527 	 0.522029 	 0.02635 
 528 	 0.523702 	 0.0264 
 529 	 0.524076 	 0.02645 
 530 	 0.524239 	 0.0265 
 531 	 0.52519 	 0.02655 
 532 	 0.525914 	 0.0266 
 533 	 0.526306 	 0.02665 
 534 	 0.526922 	 0.0267 
 535 	 0.527893 	 0.02675 
 536 	 0.528515 	 0.0268 
 537 	 0.528722 	 0.02685 
 538 	 0.528945 	 0.0269 
 539 	 0.52996 	 0.02695 
 540 	 0.531734 	 0.027 
 541 	 0.534 	 0.02705 
 542 	 0.534795 	 0.0271 
 543 	 0.534842 	 0.02715 
 544 	 0.534967 	 0.0272 
 545 	 0.535989 	 0.02725 
 546 	 0.536168 	 0.0273 
 547 	 0.537684 	 0.02735 
 548 	 0.537995 	 0.0274 
 549 	 0.538223 	 0.02745 
 550 	 0.538626 	 0.0275 
 551 	 0.539409 	 0.02755 
 552 	 0.540679 	 0.0276 
 553 	 0.540929 	 0.02765 
 554 	 0.541983 	 0.0277 
 555 	 0.542001 	 0.02775 
 556 	 0.54332 	 0.0278 
 557 	 0.544379 	 0.02785 
 558 	 0.545965 	 0.0279 
 559 	 0.546351 	 0.02795 
 560 	 0.546957 	 0.028 
 561 	 0.547016 	 0.02805 
 562 	 0.547203 	 0.0281 
 563 	 0.548413 	 0.02815 
 564 	 0.549604 	 0.0282 
 565 	 0.552158 	 0.02825 
 566 	 0.55228 	 0.0283 
 567 	 0.552391 	 0.02835 
 568 	 0.553197 	 0.0284 
 569 	 0.554019 	 0.02845 
 570 	 0.554123 	 0.0285 
 571 	 0.554639 	 0.02855 
 572 	 0.555381 	 0.0286 
 573 	 0.557071 	 0.02865 
 574 	 0.558222 	 0.0287 
 575 	 0.560392 	 0.02875 
 576 	 0.560815 	 0.0288 
 577 	 0.562039 	 0.02885 
 578 	 0.562247 	 0.0289 
 579 	 0.564682 	 0.02895 
 580 	 0.564907 	 0.029 
 581 	 0.566883 	 0.02905 
 582 	 0.568264 	 0.0291 
 583 	 0.568736 	 0.02915 
 584 	 0.569938 	 0.0292 
 585 	 0.570968 	 0.02925 
 586 	 0.571058 	 0.0293 
 587 	 0.573719 	 0.02935 
 588 	 0.574442 	 0.0294 
 589 	 0.575459 	 0.02945 
 590 	 0.577069 	 0.0295 
 591 	 0.577978 	 0.02955 
 592 	 0.578902 	 0.0296 
 593 	 0.57979 	 0.02965 
 594 	 0.581329 	 0.0297 
 595 	 0.582255 	 0.02975 
 596 	 0.582827 	 0.0298 
 597 	 0.58705 	 0.02985 
 598 	 0.588175 	 0.0299 
 599 	 0.589577 	 0.02995 
 600 	 0.589623 	 0.03 
 601 	 0.589785 	 0.03005 
 602 	 0.590355 	 0.0301 
 603 	 0.591778 	 0.03015 
 604 	 0.592383 	 0.0302 
 605 	 0.593726 	 0.03025 
 606 	 0.594082 	 0.0303 
 607 	 0.595514 	 0.03035 
 608 	 0.595534 	 0.0304 
 609 	 0.596003 	 0.03045 
 610 	 0.596138 	 0.0305 
 611 	 0.597232 	 0.03055 
 612 	 0.600413 	 0.0306 
 613 	 0.600721 	 0.03065 
 614 	 0.600908 	 0.0307 
 615 	 0.601022 	 0.03075 
 616 	 0.602135 	 0.0308 
 617 	 0.604022 	 0.03085 
 618 	 0.604544 	 0.0309 
 619 	 0.606049 	 0.03095 
 620 	 0.606774 	 0.031 
 621 	 0.606959 	 0.03105 
 622 	 0.609316 	 0.0311 
 623 	 0.610761 	 0.03115 
 624 	 0.611339 	 0.0312 
 625 	 0.61246 	 0.03125 
 626 	 0.612671 	 0.0313 
 627 	 0.612738 	 0.03135 
 628 	 0.613909 	 0.0314 
 629 	 0.614467 	 0.03145 
 630 	 0.614902 	 0.0315 
 631 	 0.615195 	 0.03155 
 632 	 0.616216 	 0.0316 
 633 	 0.618075 	 0.03165 
 634 	 0.620646 	 0.0317 
 635 	 0.622869 	 0.03175 
 636 	 0.623848 	 0.0318 
 637 	 0.625016 	 0.03185 
 638 	 0.625085 	 0.0319 
 639 	 0.625508 	 0.03195 
 640 	 0.626011 	 0.032 
 641 	 0.627985 	 0.03205 
 642 	 0.630176 	 0.0321 
 643 	 0.630268 	 0.03215 
 644 	 0.631671 	 0.0322 
 645 	 0.63192 	 0.03225 
 646 	 0.634255 	 0.0323 
 647 	 0.635378 	 0.03235 
 648 	 0.638151 	 0.0324 
 649 	 0.638724 	 0.03245 
 650 	 0.639578 	 0.0325 
 651 	 0.639675 	 0.03255 
 652 	 0.640724 	 0.0326 
 653 	 0.642284 	 0.03265 
 654 	 0.6436 	 0.0327 
 655 	 0.64409 	 0.03275 
 656 	 0.645328 	 0.0328 
 657 	 0.646497 	 0.03285 
 658 	 0.647593 	 0.0329 
 659 	 0.652335 	 0.03295 
 660 	 0.653958 	 0.033 
 661 	 0.654817 	 0.03305 
 662 	 0.655352 	 0.0331 
 663 	 0.656667 	 0.03315 
 664 	 0.658686 	 0.0332 
 665 	 0.658866 	 0.03325 
 666 	 0.660097 	 0.0333 
 667 	 0.6614 	 0.03335 
 668 	 0.661567 	 0.0334 
 669 	 0.662326 	 0.03345 
 670 	 0.662629 	 0.0335 
 671 	 0.663621 	 0.03355 
 672 	 0.666298 	 0.0336 
 673 	 0.6666 	 0.03365 
 674 	 0.667062 	 0.0337 
 675 	 0.667511 	 0.03375 
 676 	 0.668692 	 0.0338 
 677 	 0.671051 	 0.03385 
 678 	 0.671482 	 0.0339 
 679 	 0.671649 	 0.03395 
 680 	 0.673109 	 0.034 
 681 	 0.6738 	 0.03405 
 682 	 0.674323 	 0.0341 
 683 	 0.67637 	 0.03415 
 684 	 0.678264 	 0.0342 
 685 	 0.68062 	 0.03425 
 686 	 0.684069 	 0.0343 
 687 	 0.687199 	 0.03435 
 688 	 0.687878 	 0.0344 
 689 	 0.689384 	 0.03445 
 690 	 0.690129 	 0.0345 
 691 	 0.691127 	 0.03455 
 692 	 0.692874 	 0.0346 
 693 	 0.694001 	 0.03465 
 694 	 0.694644 	 0.0347 
 695 	 0.696898 	 0.03475 
 696 	 0.698558 	 0.0348 
 697 	 0.700037 	 0.03485 
 698 	 0.700536 	 0.0349 
 699 	 0.700624 	 0.03495 
 700 	 0.701316 	 0.035 
 701 	 0.701493 	 0.03505 
 702 	 0.701954 	 0.0351 
 703 	 0.702127 	 0.03515 
 704 	 0.702661 	 0.0352 
 705 	 0.702867 	 0.03525 
 706 	 0.703088 	 0.0353 
 707 	 0.703098 	 0.03535 
 708 	 0.704515 	 0.0354 
 709 	 0.705514 	 0.03545 
 710 	 0.706265 	 0.0355 
 711 	 0.706757 	 0.03555 
 712 	 0.707121 	 0.0356 
 713 	 0.708361 	 0.03565 
 714 	 0.708443 	 0.0357 
 715 	 0.708567 	 0.03575 
 716 	 0.71013 	 0.0358 
 717 	 0.710707 	 0.03585 
 718 	 0.71076 	 0.0359 
 719 	 0.711975 	 0.03595 
 720 	 0.713179 	 0.036 
 721 	 0.713342 	 0.03605 
 722 	 0.714745 	 0.0361 
 723 	 0.716594 	 0.03615 
 724 	 0.717695 	 0.0362 
 725 	 0.71874 	 0.03625 
 726 	 0.720365 	 0.0363 
 727 	 0.724416 	 0.03635 
 728 	 0.727454 	 0.0364 
 729 	 0.728663 	 0.03645 
 730 	 0.728666 	 0.0365 
 731 	 0.728673 	 0.03655 
 732 	 0.728732 	 0.0366 
 733 	 0.730439 	 0.03665 
 734 	 0.730826 	 0.0367 
 735 	 0.731119 	 0.03675 
 736 	 0.734388 	 0.0368 
 737 	 0.735288 	 0.03685 
 738 	 0.737452 	 0.0369 
 739 	 0.737598 	 0.03695 
 740 	 0.738299 	 0.037 
 741 	 0.740316 	 0.03705 
 742 	 0.740653 	 0.0371 
 743 	 0.742938 	 0.03715 
 744 	 0.743622 	 0.0372 
 745 	 0.744265 	 0.03725 
 746 	 0.744604 	 0.0373 
 747 	 0.74536 	 0.03735 
 748 	 0.746344 	 0.0374 
 749 	 0.747958 	 0.03745 
 750 	 0.748103 	 0.0375 
 751 	 0.748533 	 0.03755 
 752 	 0.751519 	 0.0376 
 753 	 0.751743 	 0.03765 
 754 	 0.753694 	 0.0377 
 755 	 0.754038 	 0.03775 
 756 	 0.754461 	 0.0378 
 757 	 0.755249 	 0.03785 
 758 	 0.756385 	 0.0379 
 759 	 0.756815 	 0.03795 
 760 	 0.756846 	 0.038 
 761 	 0.757854 	 0.03805 
 762 	 0.759006 	 0.0381 
 763 	 0.761433 	 0.03815 
 764 	 0.761937 	 0.0382 
 765 	 0.762722 	 0.03825 
 766 	 0.763835 	 0.0383 
 767 	 0.765068 	 0.03835 
 768 	 0.765991 	 0.0384 
 769 	 0.7676 	 0.03845 
 770 	 0.768369 	 0.0385 
 771 	 0.769177 	 0.03855 
 772 	 0.771614 	 0.0386 
 773 	 0.774321 	 0.03865 
 774 	 0.775515 	 0.0387 
 775 	 0.775979 	 0.03875 
 776 	 0.776346 	 0.0388 
 777 	 0.777307 	 0.03885 
 778 	 0.777979 	 0.0389 
